KEY,en_US,en_GB,de_DE,es_ES,es_MX,fr_CA,fr_FR,lt_LT,nl_NL,pl_PL,pt_BR
1000000000094,Write a note here,Write a note here,Hier eine Anmerkung schreiben,Escriba una nota aquí,Escribir una nota aquí,Écrire une remarque ici,Écrire une note,Čia parašykite pastabą,Schrijf hier een opmerking,Napisz uwagę tutaj,Escreva uma nota aqui
1000000000095,Notes,Notes,Anmerkungen,Notas,Notas,Remarques,Remarques,Pastabos,Opmerkingen,Uwagi,Observações
1000000000096,Edit,Edit,Bearbeiten,Editar,Editar,Modifier,Modifier,Redaguoti,Bewerk,Edytuj,Editar
1000000000097,Reassign,Reassign,Neu zuweisen,Reasignar,Reasignar,Réaffecter,Réattribuer,Priskirti iš naujo,Wijs opnieuw toe,Przypisz ponownie,Reatribuir
1000000000098,Swap,Swap,Tauschen,Intercambiar,Intercambiar,Échange,Échanger,Sukeisti,Ruil,Zamień,Trocar
1000000000099,Copy,Copy,Kopieren,Copiar,Copiar,Copier,Copier,Kopijuoti,Kopieer,Kopia,Copiar
1000000000100,Add,Add,Hinzufügen,Añadir,Agregar,Ajouter,Ajouter,Pridėti,Voeg toe,Dodaj,Adicionar
1000000000101,Unallocate,Unallocate,Zuweisung aufheben,Cancelar asignación,Anular asignación,Annuler l’attribution,Annuler l'attribution,Panaikinti,Trek toewijzing in,Cofnij przypisanie,Retirar alocação
1000000000102,Start Time,Start Time,Startzeit,Hora de inicio,Hora de inicio,Heure de début,Heure de début,Pradžios laikas,Begintijd,Czas rozpoczęcia,Horário de início
1000000000103,End Time,End Time,Endzeit,Hora de finalización,Hora de finalización,Heure de fin,Heure de fin,Pabaigos laikas,Eindtijd,Czas zakończenia,Hora de término
1000000000104,Task,Task,Aufgabe,Tarea,Tarea,Tâche,Tâche,Užduotis,Taak,Zadanie,Tarefa
1000000000105,Copy to Associate,Copy to Associate,Zu Angestelltem kopieren,Copiar a asociado,Copiar al asociado,Copier à l’employé,Copier vers le collaborateur,Kopijuoti bendradarbiui,Kopie naar medewerker,Kopiuj do pracownika,Copiar para associado
1000000000106,To Weekday,To Weekday,Bis Wochentag,Para día de la semana,Hasta el día de semana,Jusqu’au jour de la semaine,Jour de la semaine,Į darbo dieną,Naar weekdag,Do dnia powszedniego,Para dia da semana
1000000000107,Cancel,Cancel,Abbrechen,Cancelar,Cancelar,Annuler,Annuler,Atšaukti,Annuleer,Anuluj,Cancelar
1000000000108,Edit Note,Edit Note,Anmerkung bearbeiten,Editar nota,Editar nota,Modifier la remarque,Modifier la note,Redaguoti pastabą,Bewerk opmerking,Edytuj uwagę,Editar nota
1000000000109,Advertise shift?,Advertise shift?,Schicht bewerben?,¿Confirma que desea anunciar este turno?,¿Desea anunciar el turno?,Annoncer le quart?,Annoncer le roulement ?,Skelbti pamainą?,Dienst adverteren?,Ogłosić zmianę?,Anunciar turno?
1000000000110,Decline shift?,Decline shift?,Schicht ablehnen?,¿Confirma que desea rechazar el turno?,¿Desea rechazar el turno?,Refuser le quart?,Refuser le roulement ?,Atmesti pamainą?,Dienst afwijzen?,Odrzucić zmianę?,Recusar turno?
1000000000111,Unassign shift?,Unassign shift?,Schichtzuweisung aufheben?,¿Confirma que desea cancelar la asignación del turno?,¿Desea cancelar la asignación del turno?,Annuler l’attribution du quart?,Annuler l'attribution du roulement ?,Atšaukti pamainos priskyrimą?,Toewijzing dienst ongedaan maken?,Cofnąć przypisanie zmiany?,Desfazer atribuição de turno?
1000000000112,Advertise,Advertise,Bewerben,Anunciar,Anunciar,Annoncer,Annoncer,Skelbti,Adverteer,Ogłoś,Anunciar
1000000000113,Add open shift,Add open shift,Offene Schicht hinzufügen,Añadir turno abierto,Agregar turno disponible,Ajouter un quart ouvert,Ajouter un nouveau créneau ouvert,Pridėti atvirą pamainą,Nieuwe open dienst toevoegen,Dodaj otwartą zmianę,Adicionar turno aberto
1000000000114,Error,Error,Fehler,Error,Error,Erreur,Erreur,Klaida,Fout,Błąd,Erro
1000000000115,Invalid Date,Invalid Date,Ungültiges Datum,Fecha no válida,Fecha no válida,Date non valide,Date non valide,Netinkama data,Ongeldige datum,Nieważna data,Data Inválida
1000000000116,Assign,Assign,Zuweisen,Asignar,Asignar,Attribuer,Attribuer,Priskirti,Toewijzen,Przypisz,Atribuir
1000000000117,No Violations,No Violations,Keine Verstöße,No hay violaciones,Sin infracciones,Aucune violation,Aucune violation,Pažeidimų nėra,Geen schendingen,Brak naruszeń,Sem violações
1000000000118,Coverage,Coverage,Abdeckung,Cobertura,Cobertura,Couverture,Couverture,Pavadavimas,Bezetting,Zastępstwa,Cobertura
1000000000119,Open Shifts,Open Shifts,Offene Schichten,Turnos abiertos,Turnos disponibles,Quarts de travail ouverts,Créneaux ouverts,Atviros pamainos,Open diensten,Otwarte zmiany,Turnos abertos
1000000000120,Daily Schedule,Daily Schedule,Tageseinsatzplan,Horario diario,Programa diario,Horaire quotidien,Planning quotidien,Dienos tvarkaraštis,Dagelijks planning,Dzienny grafik,Programação diária
1000000000121,Weekly Schedule,Weekly Schedule,Wocheneinsatzplan,Horario semanal,Programa semanal,Horaire hebdomadaire,Planning hebdomadaire,Savaitės tvarkaraštis,Wekelijks planning,Grafik tygodniowy,Programação semanal
1000000000122,Done,Done,Fertig,Hecho,Listo,Terminé,Terminé,Atlikta,Gereed,Gotowe,Concluído
1000000000123,Pay Alerts,Pay Alerts,Zahlungshinweise,Alertas de pago,Alertas de pago,Alertes de paie,Alertes de rémunération,Mokėjimo įspėjimai,Loonmeldingen,Alerty dotyczące wynagrodzenia,Alertas de pagamento
1000000000124,Add/Edit Note,Add/Edit Note,Anmerkungen hinzufügen/bearbeiten,Añadir/Editar nota,Agregar/editar nota,Ajouter/modifier une remarque,Ajouter/Modifier la note,Pridėti / redaguoti pastabą,Voeg toe/bewerk opmerking,Dodaj/edytuj uwagę,Adicionar/editar nota
1000000000125,Note cannot be blank,Note cannot be blank,"""Anmerkung"" darf nicht leer sein",La nota no puede dejarse en blanco,La nota no puede quedar en blanco.,La remarque ne peut pas être vide,La remarque doit être renseignée,Pastaba negali būti tuščia,Opmerking mag niet leeg zijn,Uwaga nie może być pusta,A nota não pode ficar em branco
1000000000126,Publish,Publish,Veröffentlichen,Publicar,Publicar,Publier,Publier,Skelbti,Publiceer,Opublikuj,Publicar
1000000000127,Partial Publish,Partial Publish,Teil-Veröffentlichung,Publicación parcial,Publicación parcial,Publication partielle,Publication partielle,Dalinis paskelbimas,Gedeeltelijke publicatie,Częściowa publikacja,Publicação parcial
1000000000128,Conflicts,Conflicts,Konflikte,Conflictos,Conflictos,Conflits,Conflits,Nesuderinamumai,Conflicten,Konflikty,Conflitos
1000000000129,Other's Requests,Other's Requests,Andere Anfragen,Solicitudes de otros,Solicitudes de otros,Demandes des autres,Demandes des autres personnes,Kitų prašymai,Aanvragen van anderen,Inne wnioski,Solicitações de outros
1000000000130,Request Trends,Request Trends,Anfragetrends,Tendencias de solicitudes,Solicitar tendencias,Tendances des demandes,Tendances des demandes,Prašymų tendencijos,Aanvraagtrends,Trendy wniosków,Tendências de solicitações
1000000000131,Accrual Balance,Accrual Balance,Rückstellungssaldo,Saldo de acumulación,Saldo de acumulación,Solde cumulé,Solde d'accumulation,Sukauptas likutis,Opbouw saldo,Rozliczenie międzyokresowe,Saldo acumulado
1000000000132,Request will be approved,Request will be approved,Die Anfrage wird genehmigt.,¿Confirma que desea aprobar esta solicitud?,Se aprobará la solicitud.,La demande sera approuvée,La demande sera approuvée,Prašymas bus patvirtintas,Aanvraag wordt goedgekeurd,Wniosek zostanie zatwierdzony,A solicitação será aprovada
1000000000133,Request will be declined,Request will be declined,Anfrage wird abgelehnt,¿Confirma que desea rechazar esta solicitud?,Se rechazará la solicitud.,La demande sera refusée,La demande sera refusée,Prašymas bus atmestas,Aanvraag wordt afgewezen,Wniosek zostanie odrzucony,A solicitação será recusada
1000000000134,Assign open shift?,Assign open shift?,Offene Schicht zuweisen?,¿Confirma que desea asignar el turno abierto?,¿Desea asignar un turno disponible?,Attribuer un quart ouvert?,Attribuer le créneau ouvert ?,Priskirti atvirą pamainą?,Open dienst toekennen?,Przypisać otwartą zmianę?,Atribuir turno aberto?
1000000000135,Undo,Undo,Rückgängig machen,Deshacer,Deshacer,Annuler,Annuler,Anuliuoti,Maak ongedaan,Cofnij,Desfazer
1000000000136,Undo previous schedule changes?,Undo previous schedule changes?,Vorherige Einsatzplanänderungen rückgängig machen?,¿Confirma que desea deshacer cambios de horario anteriores?,¿Desea deshacer cambios de horario anteriores?,Annuler les modifications d’horaire précédentes?,Annuler les modifications précédentes du planning ?,Atšaukti ankstesnius tvarkaraščio pakeitimus?,Voorgaande planningwijzigingen ongedaan maken?,Cofnąć poprzednie zmiany grafiku?,Desfazer alterações de programação anteriores?
1000000000137,Unpublish,Unpublish,Veröffentlichung aufheben,Cancelar publicación,Anular publicación,Annuler la publication,Annuler la publication,Atšaukti skelbimą,Trek publicatie in,Cofnij publikację,Cancelar publicação
1000000000138,Read Only,Read Only,Schreibgeschützt,Solo lectura,Solo de lectura,Lecture seulement,Lecture seulement,Tik skaitomas,Alleen lezen,Tylko do odczytu,Apenas leitura
1000000000139,Confirm,Confirm,Bestätigen,Confirmar,Confirmar,Confirmer,Confirmer,Patvirtinti,Bevestig,Potwierdź,Confirmar
1000000000140,Delete shift?,Delete shift?,Schicht löschen?,¿Confirma que desea eliminar el turno?,¿Desea eliminar el turno?,Supprimer le quart?,Supprimer le roulement ?,Ištrinti pamainą?,Dienst verwijderen?,Usunąć zmianę?,Excluir turno?
1000000000141,Save changes?,Save changes?,Änderungen speichern?,¿Confirma que desea guardar los cambios?,¿Desea guardar los cambios?,Enregistrer les modifications?,Sauvegarder les modifications ?,Išsaugoti pakeitimus?,Wijzigingen opslaan?,Zapisać zmiany?,Salvar alterações?
1000000000142,Save shift?,Save shift?,Schicht speichern?,¿Confirma que desea guardar este turno?,¿Desea guardar el turno?,Enregistrer le quart?,Enregistrer ce roulement ?,Išsaugoti pamainą?,Dienst opslaan?,Zapisać zmianę?,Salvar turno?
1000000000143,Delete notes?,Delete notes?,Anmerkungen löschen?,¿Confirma que desea eliminar las notas?,¿Desea eliminar las notas?,Supprimer les remarques?,Supprimer les notes ?,Ištrinti pastabas?,Opmerkingen verwijderen?,Usunąć uwagi?,Excluir observações?
