KEY,en_US,en_GB,de_DE,es_ES,es_MX,fr_CA,fr_FR,lt_LT,nl_NL,pl_PL,pt_BR
absence_calendar.filter.time_off,Time Off,Time Off,Stundenweise Abwesenheit,Tiempo libre,Tiempo libre,Congé,Temps libre,Laisvas laikas,Afwezigheid,Czas wolny,Folga
absence_calendar.filter.type,Type,Type,Typ,Tipo,Tipo,Type,Type,Tipas,Type,Typ,Tipo
absence_calendar.label.no_absence,No Absences,No Absences,Keine Abwesenheiten,Sin ausencias,Sin ausencias,Aucune absence,Pas d'absences,Neatvykimų į darbą nėra,Geen afwezigheid,Brak nieobecności,Sem ausências
absence_calendar.legend.label.day_time_off,Day Off / Time Off,Day Off / Time Off,Ruhetag/stundenweise Abwesenheit,Día libre/Tiempo libre,Día libre/tiempo libre,Jour de repos/temps libre,Jour de repos/temps libre,Laisva diena / laisvas laikas,Vrije dag / afwezigheid,Dzień wolny / czas wolny,Folga/folga
absence_calendar.legend.label.holiday,Holiday,Holiday,Feiertag,Día festivo,Días festivos,Vacances,Vacances,Atostogos,Vakantie,Święta,Feriado
absence_calendar.menu.label.filter,Filter,Filter,Filter,Filtrar,Filtrar,Filtrer,Filtrer,Filtras,Filter,Filtr,Filtro
absence_calendar.menu.label.legend,Legend,Legend,Legende,Leyenda,Leyenda,Légende,Légende,Legenda,Legenda,Legenda,Legenda
absence_calendar.semantic.day_details,Day details,Day details,Details zum Tag,Detalles del día,Detalles del día,Détails de la journée,Détails de la journée,Dienos informacija,Details van dag,Szczegóły dnia,Detalhes do dia
absence_calendar.semantics.list,{0} on {1} from {2},{0} on {1} from {2},{0} am {1} von {2},{0} el {1} de {2},{0} del {1} de {2},{0} le {1} de {2},{0} à {1} depuis {2},{0} nurodytą datą {1} nuo {2},{0} op {1} van {2},{0} w dniu {1} od {2},{0} em {1} a partir de {2}
absence_calendar.title.absence_calendar_details,Absence Calendar Details,Absence Calendar Details,Details Abwesenheitskalender,Detalles del calendario de ausencias,Detalles del calendario de ausencias,Détails du calendrier des absences,Détails du calendrier des absences,Neatvykimo į darbą kalendoriaus informacija,Details afwezigheidskalender,Szczegóły kalendarza nieobecności,Detalhes do calendário de ausências
attendanceManagement.add.label.date.error,Start date cannot be after end date.,Start date cannot be after end date.,Startdatum kann nicht nach dem Enddatum liegen.,La fecha de inicio no puede ser posterior a la fecha de finalización.,La fecha de inicio no puede ser posterior a la fecha de finalización.,La date de début ne peut pas être après la date de fin.,La date de début ne peut pas être postérieure à la date de fin.,Pradžios data negali būti vėlesnė už pabaigos datą.,Startdatum kan niet na einddatum vallen.,Data rozpoczęcia nie może być późniejsza od daty zakończenia.,A data de início não pode ser posterior à data de término.
attendanceManagement.filter.label.category,Category,Category,Kategorie,Categoría,Categoría,Catégorie,Catégorie,Kategorija,Categorie,Kategoria,Categoria
attendanceManagement.filter.label.date_range,Date Range,Date Range,Datumsbereich,Rango de fechas,Rango de fechas,Plage de dates,Plage de dates,Datų intervalas,Datumbereik,Zakres dat,Intervalo de datas
attendanceManagement.filter.label.equals,Equals,Equals,Gleich,Igual a,Equivale a,Égale,Égal,Lygus,Gelijk aan,Równa się,Igual a
attendanceManagement.filter.label.greater_than,Greater than,Greater than,Größer als,Mayor que,Mayor que,Supérieur à,Plus grand que,Didesnis nei,Meer dan,Więcej niż,Maior que
attendanceManagement.filter.label.less_than,Less than,Less than,Geringer als,Menos que,Menor que,Moins de,Moins que,Mažesnis nei,Minder dan,Mniej niż,Menor que
attendanceManagement.filter.label.location,Location,Location,Position,Ubicación,Ubicación,Emplacement,Emplacement,Vieta,Locatie,Lokalizacja,Localização
attendanceManagement.filter.label.points,Points,Points,Punkte,Puntos,Puntos,Points,Points,Taškai,Punten,Punkty,Pontos
attendanceManagement.filter.label.title,Filter,Filter,Filter,Filtrar,Filtrar,Filtrer,Filtrer,Filtras,Filter,Filtrowanie,Filtro
attendanceManagement.filter.semantics.end_date,End Date,End Date,Enddatum,Fecha de finalización,Fecha de finalización,Date de fin,Date de fin,Pabaigos data,Einddatum,Data zakończenia,Data de término
attendanceManagement.filter.semantics.enter_points,Enter points,Enter points,Punkte eingeben,Introducir puntos,Ingresar puntos,Saisir des points,Saisir des points,Įvesti taškus,Voer punten in,Wprowadź punkty,Inserir pontos
attendanceManagement.filter.semantics.start_date,Start Date,Start Date,Startdatum,Fecha de inicio,Fecha de inicio,Date de début,Date de début,Pradžios data,Begindatum,Data rozpoczęcia,Data de início
attendanceManagement.list.error,Transactions not present for your attendance,Transactions not present for your attendance,Transaktionen für Ihre Teilnahme nicht vorhanden,No hay transacciones presentes para su asistencia,Las transacciones no están presentes para su asistencia,Aucune transaction pour votre présence,Aucune transaction pour votre présence,Operacijų dėl jūsų užimtumo nėra,Er zijn geen transacties voor uw aanwezigheid,Transakcje niedostępne dla Twojej obecności,Transações não presentes para o seu atendimento
attendanceManagement.list.label.adjusted,Adjusted,Adjusted,Angepasst,Ajustado,Ajustadas,Ajusté,Ajusté(e),Pakoreguota,Aangepast,Skorygowane,Ajustado
attendanceManagement.list.label.card_text,"Attendance data for {0} at {1} for category {2}. Points value is {3}, Adjusted value is {4}. Last updated by {5} at {6}","Attendance data for {0} at {1} for category {2}. Points value is {3}, Adjusted value is {4}. Last updated by {5} at {6}","Anwesenheitsdaten für {0} bei {1} für Kategorie {2}. Punktewert ist {3}, der angepasste Wert ist {4}. Zuletzt aktualisiert von {5} um {6}","Datos de asistencia de {0} a la {1} para la categoría {2}. El valor en puntos es {3}, el valor ajustado es {4}. Actualizado por última vez por {5} a las {6}","Datos de asistencia para {0} en {1} para la categoría {2}. El valor de puntos es {3}, el valor ajustado es {4}. Actualizado por última vez por {5} en {6}","Données de présence pour {0} à {1} pour la catégorie {2}. La valeur des points est de {3}, la valeur ajustée est de {4}. Dernière mise à jour par {5} à {6}","Données de présence pour {0} à {1} pour la catégorie {2}. La valeur des points est de {3}, la valeur ajustée est de {4}. Dernière mise à jour par {5} à {6}","Užimtumo duomenys {0} {1} kategorijai {2}. Taškų vertė yra {3}, koreguota vertė yra {4}. Paskutinį kartą atnaujino {5} datą {6}","Aanwezigheidsgegevens voor {0} bij {1} voor categorie {2}. Puntenwaarde is {3}, aangepaste waarde is {4}. Laatst bijgewerkt door {5} om {6}","Dane obecności dla {0} o {1} dla kategorii {2}. Wartość punktowa wynosi {3}, wartość skorygowana wynosi {4}. Ostatnio zaktualizowano przez {5} o {6}.","Dados de frequência para {0} em {1} para categoria {2}. O valor dos pontos é {3}, o valor de ajuste é {4}. Última atualização por em {5} às {6}"
attendanceManagement.list.label.total_points_for_current_period,Total points for current period {0},Total points for current period {0},Gesamtpunkte für den aktuellen Zeitraum {0},N.º de puntos totales para el periodo actual {0},Total de puntos para el período actual {0},Total des points pour la période en cours {0},Total des points pour la période en cours {0},Bendra einamojo laikotarpio taškų suma {0},Totaal aantal punten voor huidige periode {0},Suma punktów za bieżący okres {0},Total de pontos para o período atual {0}
attendanceManagement.picker_header.end_date,Select end date,Select end date,Enddatum auswählen,Seleccione fecha de finalización,Seleccionar fecha de finalización,Sélectionner une date de fin,Sélectionner une date de fin,Pasirinkite pabaigos datą,Selecteer einddatum,Wybierz datę zakończenia,Selecionar data de término
attendanceManagement.picker_header.start_date,Select start date,Select start date,Startdatum auswählen,Seleccione fecha de inicio,Seleccionar fecha de inicio,Sélectionner une date de début,Sélectionner une date de début,Pasirinkite pradžios datą,Selecteer begindatum,Wybierz datę rozpoczęcia,Selecionar data de início
availability.add.label.add_availability,Add Availability,Add Availability,Verfügbarkeit hinzufügen,Añadir disponibilidad,Agregar disponibilidad,Ajouter une disponibilité,Ajouter des disponibilités,Pridėti užimtumą,Voeg beschikbaarheid toe,Dodaj dostępność,Adicionar disponibilidade
availability.add.label.choose_reason,Choose Reason,Choose Reason,Grund auswählen,Seleccionar motivo,Elija el motivo,Choisir un motif,Choisir un motif,Pasirinkite priežastį,Kies reden,Wybierz powód,Escolha o motivo
availability.add.label.choose_rotations,Choose Number of Rotations,Choose Number of Rotations,Anzahl der Rotationen auswählen,Seleccionar número de rotaciones,Elegir un número de rotaciones,Choisir le nombre de rotations,Choisir le nombre de rotations,Pasirinkti rotacijų skaičių,Kies aantal rotaties,Wybierz liczbę rotacji,Escolha o número de rotações
availability.add.label.date.error,Start date cannot be after end date.,Start date cannot be after end date.,Startdatum kann nicht nach dem Enddatum liegen.,La fecha de inicio no puede ser posterior a la fecha de finalización.,La fecha de inicio no puede ser posterior a la fecha de finalización.,La date de début ne peut pas être après la date de fin.,La date de début ne peut pas être postérieure à la date de fin.,Pradžios data negali būti vėlesnė už pabaigos datą.,Startdatum kan niet na einddatum vallen.,Data rozpoczęcia nie może być późniejsza od daty zakończenia.,A data de início não pode ser posterior à data de término.
availability.add.label.edit_availability,Edit Availability,Edit Availability,Verfügbarkeit bearbeiten,Editar disponibilidad,Editar disponibilidad,Modifier la disponibilité,Modifier la disponibilité,Redaguoti užimtumą,Bewerk beschikbaarheid,Edytuj dostępność,Editar disponibilidade
availability.add.label.end_time,End Time,End Time,Endzeit,Hora de finalización,Hora de finalización,Heure de fin,Heure de fin,Pabaigos laikas,Eindtijd,Czas zakończenia,Hora de término
availability.add.label.end_time_error,End time cannot be before start time.,End time cannot be before start time.,Die Endzeit darf nicht vor der Startzeit liegen.,La hora de finalización no puede ser anterior a la hora de inicio.,La hora de finalización no puede ser anterior a la hora de inicio.,L’heure de fin ne peut pas être avant l’heure de début.,L'heure de fin ne doit pas être antérieure à l'heure de début.,Pabaigos laikas negali būti ankstesnis nei pradžios laikas.,Eindtijd kan niet voor starttijd vallen.,Godzina zakończenia nie może być wcześniejsza niż godzina rozpoczęcia.,O horário de término não pode ser anterior ao horário de início.
availability.add.label.max_hrs_daily,Max hrs daily,Max hrs daily,Max Std. pro Tag,Máx. horas diarias,Máx. de horas diarias,Nombre maximal d’heures quotidiennes,Hrs quotidiennes max,Maks. val. skaičius per dieną,Max. aantal uren per dag,Maks. liczba godzin dziennie,Máx. horas diárias
availability.add.label.max_hrs_weekly,Max hrs weekly,Max hrs weekly,Max. Std. pro Woche,Máx. horas semanales,Máximo de horas semanales,Heures maximales hebdomadaires,Hrs hebdomadaires max,Maks. val. skaičius per savaitę,Max. aant. uren per week,Maks. liczba godzin tygodniowo,Máx. horas semanais
availability.add.label.no_window,No availability window present,No availability window present,Kein Verfügbarkeitsfenster vorhanden,Ninguna ventana de disponibilidad presente,No hay ventana de disponibilidad,Aucune période de disponibilité n’est présente,Aucune fenêtre de disponibilité présente,Nėra užimtumo lango,Geen beschikbaarheidsvenster aanwezig,Brak okna dostępności,Nenhuma janela de disponibilidade presente
availability.add.label.reason,Reason for request,Reason for request,Grund für Anfrage,Motivo de la solicitud,Motivo de la solicitud,Motif de la demande,Motif de la demande,Prašymo priežastis,Reden voor aanvraag,Uzasadnienie wniosku,Motivo da solicitação
availability.add.label.start_time,Start Time,Start Time,Startzeit,Hora de inicio,Hora de inicio,Heure de début,Heure de début,Pradžios laikas,Begintijd,Czas rozpoczęcia,Horário de início
availability.add.label.start_time_error,Start time cannot be after end time.,Start time cannot be after end time.,Die Startzeit kann nicht nach der Endzeit liegen.,La hora de inicio no puede ser posterior a la hora de finalización.,La hora de inicio no puede ser posterior a la hora de finalización.,L’heure de début ne peut pas être après l’heure de fin.,L'heure de début ne peut pas être postérieure à l'heure de fin.,Pradžios laikas negali būti vėlesnis už pabaigos laiką.,De starttijd kan niet na de eindtijd vallen.,Czas rozpoczęcia nie może być późniejszy od czasu zakończenia.,A hora de início não poderá ser posterior à hora de término.
availability.add.label.time_same_error,Start time and end time cannot be same.,Start time and end time cannot be same.,Startzeit und Endzeit dürfen nicht identisch sein.,La hora de inicio y la hora de finalización no pueden ser iguales.,La hora de inicio y la hora de finalización no pueden ser iguales.,L’heure de début et l’heure de fin ne peuvent pas être identiques.,L'heure de début et l'heure de fin ne peuvent pas être identiques.,Pradžios laikas ir pabaigos laikas negali sutapti.,Starttijd en eindtijd kunnen niet hetzelfde zijn.,Czas rozpoczęcia i zakończenia nie mogą być takie same.,A hora de início e a hora de término não podem ser iguais.
availability.add.semantic.addAvailability,Add {0},Add {0},{0} hinzufügen,Añadir {0},Agregar {0},Ajouter {0},Ajouter {0},Pridėti {0},Voeg {0} toe,Dodaj {0},Adicionar {0}
availability.add.timings.days_error_message,Select at least one day of week,Select at least one day of week,Wählen Sie mindestens einen Wochentag aus,Seleccione al menos un día de la semana,Seleccione al menos un día de la semana,Sélectionner au moins un jour de la semaine,Sélectionner au moins un jour de la semaine,Pasirinkite bent vieną savaitės dieną,Selecteer minimaal één dag van week,Wybierz co najmniej jeden dzień tygodnia,Selecione pelo menos um dia da semana
availability.add.timings.days_of_the_week,Days of the week,Days of the week,Tage der Woche,Días de la semana,Días de la semana,Jours de la semaine,Jours de la semaine,Savaitės dienos,Dagen van de week,Dni tygodnia,Dias da semana
availability.add.timings.select_base_avail,Select Base Availability,Select Base Availability,Basisverfügbarkeit wählen,Seleccionar disponibilidad base,Seleccione disponibilidad de base,Sélectionner la disponibilité de base,Sélectionner une disponibilité de la base,Rinktis bazinį užimtumą,Selecteer basisbeschikbaarheid,Wybierz podstawową dostępność,Selecionar disponibilidade básica
availability.add.timings.select_on_call_avail,Select On call Availability,Select On call Availability,Bereitschaftsverfügbarkeit auswählen,Seleccionar disponibilidad de guardia,Seleccionar disponibilidad de guardia,Sélectionner les disponibilités sur appel,Sélectionner la disponibilité de garde,Rinktis budėjimo užimtumą,Oproepbeschikbaarheid selecteren,Wybierz dostępność na wezwanie,Selecione disponibilidade de plantão
availability.add.timings.select_preferred_avail,Select Preferred Availability,Select Preferred Availability,Bevorzugte Verfügbarkeit auswählen,Seleccionar disponibilidad preferida,Seleccione la disponibilidad preferida,Sélectionner la disponibilité préférée,Sélectionner une disponibilité préférée,Rinktis norimą užimtumą,Selecteer voorkeursbeschikbaarheid,Wybierz preferowaną dostępność,Selecione a disponibilidade preferida
availability.add.timings.select_school_cal_avail,Select School Calendar Availability,Select School Calendar Availability,Schulkalender-Verfügbarkeit auswählen,Seleccionar disponibilidad del calendario escolar,Seleccionar disponibilidad del calendario escolar,Sélectionner les disponibilités dans le calendrier scolaire,Sélectionner la disponibilité sur le calendrier scolaire,Pasirinkite mokyklos kalendoriaus prieinamumą,Beschikbaarheid schoolkalender selecteren,Wybierz dostępność kalendarza szkolnego,Selecione a disponibilidade do calendário escolar
availability.add.title,Add Availability,Add Availability,Verfügbarkeit hinzufügen,Añadir disponibilidad,Agregar disponibilidad,Ajouter des disponibilités,Ajouter des disponibilités,Pridėti užimtumą,Voeg beschikbaarheid toe,Dodaj dostępność,Adicionar disponibilidade
availability.add.warning.remove_warning,Availability is defined. Do you want to remove that availability?,Availability is defined. Do you want to remove that availability?,Die Verfügbarkeit ist definiert. Möchten Sie diese Verfügbarkeit entfernen?,Se ha definido la disponibilidad. ¿Confirma que desea eliminar esta disponibilidad?,La disponibilidad está definida. ¿Desea eliminar esa disponibilidad?,La disponibilité est définie. Voulez-vous supprimer cette disponibilité?,La disponibilité est définie. Souhaitez-vous supprimer cette disponibilité ?,Užimtumas nustatytas. Ar norite pašalinti šį užimtumą?,Beschikbaarheid is gedefinieerd. Wilt u die beschikbaarheid verwijderen?,Dostępność jest określona. Czy chcesz usunąć tę dostępność?,A disponibilidade está definida. Deseja remover essa disponibilidade?
availability.add.warning.unsaved_data_loss,Do you want to navigate back from this page?. Unsaved data will lost.,Do you want to navigate back from this page?. Unsaved data will lost.,Möchten Sie wirklich von dieser Seite zurück navigieren? Nicht gespeicherte Daten gehen verloren.,¿Confirma que desea volver a navegar desde esta página? Los datos no guardados se perderán.,¿Desea navegar hacia atrás de esta página? Se perderán los datos no guardados.,Voulez-vous revenir à la page précédente? Les données non enregistrées seront perdues.,Souhaitez-vous revenir en arrière à partir de cette page ? Les données non enregistrées seront perdues.,Norite eiti atgal iš šio puslapio? Neišsaugoti duomenys pradings.,Wilt u deze pagina verlaten? Niet-opgeslagen gegevens gaan verloren.,Czy chcesz opuścić tę stronę? Niezapisane dane zostaną utracone.,Deseja navegar de volta a partir desta página? Os dados não salvos serão perdidos.
availability.cancel.confirmation.desc,Do you want to cancel this availability request?,Do you want to cancel this availability request?,Möchten Sie diese Verfügbarkeitsanfrage löschen?,¿Confirma que desea cancelar esta solicitud de disponibilidad?,¿Desea cancelar esta solicitud de disponibilidad?,Voulez-vous annuler cette demande de disponibilité?,Vous souhaitez annuler cette demande de disponibilité ?,Ar norite atšaukti šią užimtumo užklausą?,Wilt u deze beschikbaarheidsaanvraag annuleren?,Czy chcesz odwołać ten wniosek o dostępność?,Deseja cancelar este pedido de disponibilidade?
availability.cancel.confirmation.title,Confirm Cancel Request,Confirm Cancel Request,Abbrechen der Anfrage bestätigen,Confirmar cancelación de solicitud,Confirmar la solicitud de cancelación,Confirmer la demande d’annulation,Confirmer l'annulation de la demande,Patvirtinti atšaukimo prašymą,Bevestig annulering van aanvraag,Potwierdź anulowanie wniosku,Confirmar solicitação de cancelamento
availability.delete.confirmation.desc,Do you want to delete this availability request?,Do you want to delete this availability request?,Möchten Sie diese Verfügbarkeitsanfrage löschen?,¿Desea eliminar esta definición de disponibilidad?,¿Desea eliminar esta solicitud de disponibilidad?,Voulez-vous supprimer cette demande de disponibilités?,Souhaitez-vous supprimer cette demande de disponibilité ?,Ar norite ištrinti šį užimtumo prašymą?,Wilt u deze beschikbaarheidsaanvraag verwijderen?,Czy chcesz usunąć wniosek o dostępność?,Deseja excluir esta solicitação de disponibilidade?
availability.delete.confirmation.title,Confirm Delete Request,Confirm Delete Request,Löschanfrage bestätigen,Confirmar eliminación de solicitud,Confirme la eliminación de la solicitud,Confirmer la suppression de la demande,Confirmer la demande de suppression,Patvirtinti prašymo ištrynimą,Bevestig verwijdering van aanvraag,Potwierdź usunięcie wniosku,Confirmar solicitação de exclusão
availability.details.label.available,Available,Available,Verfügbar,Disponible,Disponible,Disponible,Disponible,Laisvas,Beschikbaar,Dostępne,Disponível
availability.details.label.available_entire_week,Available entire week,Available entire week,Ganze Woche verfügbar,Disponible toda la semana,Disponible toda la semana,Disponible toute la semaine,Disponible toute la semaine,Laisva visą savaitę,Hele week beschikbaar,Dostępne przez cały tydzień,Disponível toda a semana
